product_id,producer_id
1530088,1542
1530220,437
1530326,1507
1530539,247
1530769,1541
1530778,1541
1530779,1541
1530780,1541
1530781,1541
1530782,1541
1531123,1558
1531124,1558
1531125,1558
1531126,1558
1531182,247
1531183,247
1531184,247
1531185,247
1533922,584
1534567,324
1534581,324
1534582,324
1534583,324
1534584,324
1534585,324
1534586,324
1534587,324
1534588,324
1534589,324
1534590,324
1534591,324
1534592,324
1534593,324
1534594,324
1534595,324
1534666,324
1534667,324
1534685,1541
1534748,1542
1534749,1542
1534750,1542
1534752,1542
1534753,1542
1534828,224
1534967,1127
1534968,1127
1534969,1127
1534970,1127
1535135,482
1535136,482
1535162,1541
1535168,1541
1535170,1541
1535175,1541
1535183,1541
1535194,1541
1535195,1541
1535198,1541
1535559,497
1536022,1541
1536069,537
1536071,537
1536072,537
1536281,324
1536284,324
1536292,324
1536296,324
1536411,1411
1536610,1541
1536617,1541
1536622,1541
1536624,1541
1536625,1541
1536626,1541
1536629,1541
1538619,537
1538734,537
1538954,1541
1538955,1541
1538956,1541
1538960,1541
1538961,1541
1538968,1558
1538969,1558
1538970,1558
1539237,1127
1539750,266
1539778,324
1539798,537
1541332,401
1541396,1541
1541399,1541
1541498,328
1541531,328
1542453,247
1542456,247
1542482,1541
1542483,1541
1542484,1541
1542486,1541
1542549,595
1542551,595
1542557,595
1542559,595
1542572,595
1542580,595
1542581,595
1542584,588
1542637,667
1542830,401
1543140,1541
1543141,1541
1543187,1541
1543195,1541
1543218,1541
1543224,1541
1543226,1541
1543228,1541
1543230,1541
1543232,1541
1543233,1541
1543234,1541
1543236,1541
1543238,1541
1543240,1541
1543527,1507
1543658,437
1543664,437
1543669,437
1543687,437
1543690,437
1543696,437
1543697,437
1543698,437
1543714,1342
1543721,206
1543739,206
1543740,206
1543794,206
1543798,206
1544499,537
1544668,537
1544769,642
1550522,1541
1550539,1541
1550553,1541
1550556,1541
1550559,1541
1550562,1541
1550583,1541
1550584,1541
1550586,1541
1550588,1541
1550594,1541
1550595,1541
1550596,1541
1550597,1541
1550708,1552
1550741,667
1551096,247
1551097,247
1551098,247
1551099,247
1551112,482
1551144,921
1551303,247
1551306,247
1551308,247
1551310,247
1551313,247
1551317,247
1551318,247
1551319,247
1551453,594
1551873,1541
1551874,1541
1551945,401
1551946,401
1552259,247
1552496,247
1553253,266
1553256,266
1553258,266
1553327,497
1553417,1542
1553647,247
1554042,145
1554145,1127
1554530,1543
1554570,584
1554604,497
1554700,1153
1554701,1153
1554702,1153
1554703,1153
1554748,1153
1554749,1153
1554820,356
1555114,603
1555260,147
1555261,147
